Index,Clade,Clade_and_StateRegion,Type,Symb_Tol,Type_and_StateRegion,Gene,Isolate,Redundancy,Potential_Pseudogene_Ref,Species,Methodology,Genbank,Genbank_link,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Host_Sci_Name,Host_tol,AphiaID,Environment,Ocean,Host_and_Ocean,Host_and_StateRegion,Country,StateRegion,T_MMM_05,SubRegion,Locale,Latitude,Longitude,Coordinate_Precision,Min_Depth,Max_Depth,Start_Year_Collect,End_Year_Collect,Ref,Reference,Ref_link
844,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Fungia,scutaria,Fungia scutaria,0.831,207341,in hospite,Pacific,"Fungia scutaria, Pacific","Fungia scutaria, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,3,3,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
845,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Fungia,scutaria,Fungia scutaria,0.831,207341,in hospite,Pacific,"Fungia scutaria, Pacific","Fungia scutaria, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,2,10,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
846,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Faviidae,Leptastrea,bottae,Leptastrea bottae,0.793,207476,in hospite,Pacific,"Leptastrea bottae, Pacific","Leptastrea bottae, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,2,2,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
847,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Faviidae,Leptastrea,purpurea,Leptastrea purpurea,0.843,207470,in hospite,Pacific,"Leptastrea purpurea, Pacific","Leptastrea purpurea, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,10,20,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
848,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Leptoseris,incrustans,Leptoseris incrustans,0.912,207279,in hospite,Pacific,"Leptoseris incrustans, Pacific","Leptoseris incrustans, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,10,20,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
849,C,"C, N_A",C1,0.466,"C1, N_A",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,N_A,N_A,N_A,N_A,N_A,N_A,N_A_H,0.711,N_A,N_A,N_A,"N_A_H, N_A","N_A_H, N_A",N_A,N_A,29.186,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
850,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Zoanthidea,Sphenopidae,Palythoa,sp.,Palythoa sp.,0.711,205785,in hospite,Pacific,"Palythoa sp., Pacific","Palythoa sp., Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,2,15,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
851,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,eydouxi,Pocillopora eydouxi,0.782,206958,in hospite,Pacific,"Pocillopora eydouxi, Pacific","Pocillopora eydouxi, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,20,20,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
852,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,ligulata,Pocillopora ligulata,0.617,206959,in hospite,Pacific,"Pocillopora ligulata, Pacific","Pocillopora ligulata, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,20,20,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
853,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,meandrina,Pocillopora meandrina,0.672,206964,in hospite,Pacific,"Pocillopora meandrina, Pacific","Pocillopora meandrina, Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,2,20,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
854,C,"C, Hawaiian Islands",C1,0.466,"C1, Hawaiian Islands",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Siderastreidae,Psammocora,sp.,Psammocora sp.,0.62,204148,in hospite,Pacific,"Psammocora sp., Pacific","Psammocora sp., Hawaiian Islands",United States,Hawaiian Islands,29.186,Oahu,N_A,21.5,-158,50000,2,5,N_A,N_A,LaJeunesse_2004_Coral_Reefs_23_596,"LaJeunesse T, Thornhill DJ, Cox EF, Stanton FG, Fitt WK, Schmidt GW (2004) High diversity and host specificity observed among symbiotic dinoflagellates in reef communities from Hawaii. Coral Reefs 23, 596-603.",http://www.springerlink.com/content/wl15edw5jqh4n65p/fulltext.pdf
855,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,abrolhosensis,Acropora abrolhosensis,0.645,288182,in hospite,Pacific,"Acropora abrolhosensis, Pacific","Acropora abrolhosensis, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
856,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,0.514,207016,in hospite,Pacific,"Acropora cerealis, Pacific","Acropora cerealis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Rib Reef,N_A,"-184,818,972","1,468,737,056",1500,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
857,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cerealis,Acropora cerealis,0.514,207016,in hospite,Pacific,"Acropora cerealis, Pacific","Acropora cerealis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
858,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,digitifera,Acropora digitifera,0.682,207045,in hospite,Pacific,"Acropora digitifera, Pacific","Acropora digitifera, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Curacao Island,N_A,"-186,672,528","1,465,557,028",3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
859,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,divaricata,Acropora divaricata,0.739,207106,in hospite,Pacific,"Acropora divaricata, Pacific","Acropora divaricata, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
860,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,donei,Acropora donei,0.673,288198,in hospite,Pacific,"Acropora donei, Pacific","Acropora donei, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
861,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,florida,Acropora florida,0.543,207058,in hospite,Pacific,"Acropora florida, Pacific","Acropora florida, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Rib Reef,N_A,"-184,818,972","1,468,737,056",1500,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
862,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,florida,Acropora florida,0.543,207058,in hospite,Pacific,"Acropora florida, Pacific","Acropora florida, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
863,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,gemmifera,Acropora gemmifera,0.289,207097,in hospite,Pacific,"Acropora gemmifera, Pacific","Acropora gemmifera, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Curacao Island,N_A,"-186,672,528","1,465,557,028",3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
864,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,humilis,Acropora humilis,0.489,207094,in hospite,Pacific,"Acropora humilis, Pacific","Acropora humilis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
865,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,nasuta,Acropora nasuta,0.411,207009,in hospite,Pacific,"Acropora nasuta, Pacific","Acropora nasuta, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Curacao Island,N_A,"-186,672,528","1,465,557,028",3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
866,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,nobilis,Acropora nobilis,0.658,207090,in hospite,Pacific,"Acropora nobilis, Pacific","Acropora nobilis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
867,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,nobilis,Acropora nobilis,0.658,207090,in hospite,Pacific,"Acropora nobilis, Pacific","Acropora nobilis, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
868,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,palifera,Acropora palifera,0.478,207037,in hospite,Pacific,"Acropora palifera, Pacific","Acropora palifera, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
869,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,secale,Acropora secale,0.69,207080,in hospite,Pacific,"Acropora secale, Pacific","Acropora secale, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,1,8,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
870,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,tenuis,Acropora tenuis,0.622,207105,in hospite,Pacific,"Acropora tenuis, Pacific","Acropora tenuis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Curacao Island,N_A,"-186,672,528","1,465,557,028",3000,1,6,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
871,C,"C, Great Barrier Reef",C1,0.466,"C1, Great Barrier Reef",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,tenuis,Acropora tenuis,0.622,207105,in hospite,Pacific,"Acropora tenuis, Pacific","Acropora tenuis, Great Barrier Reef",Australia,Great Barrier Reef,28.68,Feather Reef,N_A,"-175,328,028","1,463,924,694",2000,10,17,2003,2003,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
872,C,"C, Okinawa",C1,0.466,"C1, Okinawa",ITS2,N_A,N_A,NO_Thornhill_2007_Mol_Ecol_16_5326,same_as_Symbiodinium goreaui,DGGE,same_as_AF333515,http://www.ncbi.nlm.nih.gov/nuccore/AF333515,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,valida,Acropora valida,0.837,207072,in hospite,Pacific,"Acropora valida, Pacific","Acropora valida, Okinawa",Japan,Okinawa,28.54,Zamami Island,N_A,"262,334,528","1,273,092,069",3500,1,10,2002,2002,LaJeunesse_2004_MEPS_284_147,"LaJeunesse T, Bhagooli R, Hidaka M, deVantier L, Done T, Schmidt GW, Fitt WK, Hoegh-Guldberg O (2004) Closely related Symbiodinium spp. differ in relative dominance in coral reef host communities across environmental, latitudinal and biogeographic gradients. Marine Ecology Progress Series 284, 147-161.",http://www.int-res.com/articles/meps2004/284/m284p147.pdf
